Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
04-01-2019,AXISBANK,EQ,607.95,612,624.75,609.5,620,619.6,617.88,8381367,5.17868E+14,126230,2980044,0.3556
07-01-2019,AXISBANK,EQ,619.6,626,640.7,624.2,637.4,637.45,635.95,11735286,7.46306E+14,151307,4799071,0.4089
08-01-2019,AXISBANK,EQ,637.45,636,653.75,630.6,652.15,650.9,641.05,11879875,7.61562E+14,121549,5248930,0.4418
09-01-2019,AXISBANK,EQ,650.9,652.35,672.05,652.35,671.2,670.1,663.81,18003387,1.19508E+15,226139,7304764,0.4057
10-01-2019,AXISBANK,EQ,670.1,668.9,668.9,654.6,665.2,663.25,661.18,12751327,8.43091E+14,128303,5284830,0.4145
11-01-2019,AXISBANK,EQ,663.25,665,668.5,658.2,666,666.5,663.36,8330315,5.52603E+14,112565,3213759,0.3858
14-01-2019,AXISBANK,EQ,666.5,663,663,652.55,658.35,659.2,657.41,6856244,4.50734E+14,116097,2490029,0.3632
15-01-2019,AXISBANK,EQ,659.2,661.3,664.25,655.05,660.5,660.6,660.44,5467484,3.61096E+14,90847,2058889,0.3766
16-01-2019,AXISBANK,EQ,660.6,660.7,670.4,660.7,662.75,664,665.96,6598151,4.3941E+14,107170,2180381,0.3305
17-01-2019,AXISBANK,EQ,664,669.9,680,665.6,674.9,676.65,671.64,10448209,7.01741E+14,127666,4210912,0.403
18-01-2019,AXISBANK,EQ,676.65,674.9,676.05,661.45,664.25,664.6,667.73,7037386,4.69905E+14,145520,2378639,0.338
21-01-2019,AXISBANK,EQ,664.6,661.55,664.5,656.5,658.85,660.3,661.04,6157956,4.07064E+14,117196,3114635,0.5058
22-01-2019,AXISBANK,EQ,660.3,656.35,663.6,653.85,659.4,661.6,658.72,7951640,5.23791E+14,140331,4280253,0.5383
23-01-2019,AXISBANK,EQ,661.6,659.5,667,658.6,659.85,661.6,663.91,7596006,5.0431E+14,116021,3514776,0.4627
24-01-2019,AXISBANK,EQ,661.6,665,665.55,655,663.25,663.65,660.2,7013582,4.63037E+14,98142,4068641,0.5801
25-01-2019,AXISBANK,EQ,663.65,665.2,676.85,665.2,668.25,669.75,671.5,6628922,4.45129E+14,138347,2534962,0.3824
28-01-2019,AXISBANK,EQ,669.75,669,674.45,650.35,658.5,656.3,658,7792690,5.12755E+14,141171,3639856,0.4671
